             -1|         43 Oph|     6837-698-1|          85084|         185350|             -1|    06837-00698
             -1|         38 Oph|             -1|          84605|         185233|             -1|    06820-00488
             -1|          f Cen|    8250-3266-1|          63945|         223900|             -1|    08250-03266
             -1|      mu. Pic A|    8547-1744-1|             -1|             -1|             -1|             -1
             -1|        del Pic|    8525-1313-1|          29276|         234359|             -1|    08525-01313
             -1|         37 Cam|    3763-2582-1|          29246|          25597|             -1|    03763-02582
             -1|         71 Vir|      895-494-1|          65790|         100592|             -1|    00895-00494
             -1|       70 Oph B|     434-5212-1|             -1|             -1|     463-073987|             -1
       Alathfar|        mu. Lyr|    3108-2592-1|          90191|          66943|             -1|    03108-02592
             -1|         51 Gem|    1346-1397-1|          34909|          96638|             -1|    01346-01397
             -1|          4 Dra|    4394-1871-1|          60998|          15816|             -1|    04394-01871
             -1|        alf Oct|     9465-412-1|         104043|         257879|             -1|    09465-00412
             -1|      kap02 Cet|      60-1705-1|          15619|         111142|             -1|             -1
         ALTAIR|        alf Aql|    1058-3399-1|          97649|         125122|             -1|    01058-03399
             -1|          k Hya|     6740-785-1|          70306|         182483|             -1|             -1
             -1|        iot Ant|    7211-2295-1|          53502|         201927|             -1|    07211-02295
             -1|       84 Vir A|     311-1612-1|             -1|             -1|             -1|             -1
             -1|      omi01 Cnc|    1394-2122-1|          43970|          98247|             -1|    01394-02122
             -1|      nu.01 CMa|      5952-61-1|          31564|         151694|             -1|    05952-00061
  Kaus Borealis|        lam Sgr|    6861-3180-1|          90496|         186841|             -1|    06861-03180
             -1|          M Vel|    8176-2817-1|          47175|         221344|             -1|    08176-02817
             -1|        lam Cnc|    1928-1817-1|          40881|          80113|             -1|    01928-01817
             -1|         19 PsA|     6970-820-1|         112102|         191337|             -1|    06970-00820
             -1|         49 UMa|    3010-2498-1|          53838|          62354|             -1|    03010-02498
             -1|      gam01 Nor|    8319-1759-1|          79790|         226619|             -1|    08319-01759
             -1|        kap Aql|    5156-3185-1|          96483|         143600|             -1|    05156-03185
             -1|        iot Phe|     8020-969-1|         116389|         231675|             -1|    08020-00969
             -1|          a Pup|    7650-3052-1|          38414|         219082|             -1|    07650-03052
             -1|      del Ser B|             -1|             -1|         101623|             -1|             -1
             -1|        bet Dor|    8883-1641-1|          26069|         249311|             -1|    08883-01641
