# Star common name translation file
#
# Proper name	    Bayer 	   TYCHO-2		Hipparcos	SAO		UCACT		GSC
#		  Designation
#========================================================================================================================
                |                |    TYC         |         HIP    |         SAO    |     UCACT      |       GSC
                |          6 Sex |    4899  904   |          48341 |         137183 |                |    04899-01904
                |         12 Lib |    6751  896   |          72929 |         182983 |                |    06751-01896
                |         75 Vir |     6121-959   |          66091 |         157998 |                |    06121-00959
                |         61 Ser |     5112-348   |          90844 |         142372 |                |    05112-00348
                |        psi For |      7560  1   |          13473 |         193965 |                |    07560-00011
                |         58 Cet |    4686-2532   |           9165 |         129588 |                |               
                |      tet02 Eri |                |                |         216114 |                |               
                |        iot Eri |    7559  160   |          12486 |         215999 |                |    07559-01160
                |        kap Lib |     6193-631   |          76880 |         159442 |                |    06193-00631
                |        rho Aur |    2917-2528   |          25048 |          40269 |                |    02917-02528
                |        ksi Cnc |    1407  989   |          44946 |          80666 |                |    01407-01989
                |        psi And |    3638-2516   |         117221 |          53355 |                |    03638-02516
                |        bet Tri |    2317  647   |          10064 |          55306 |                |               
                |        104 Aqr |    6407  131   |         116901 |         165836 |                |    06407-01131
                |        tet Lyr |    3121-2287   |          94713 |          68065 |                |    03121-02287
           Azha |        eta Eri |    5287  076   |          13701 |         130197 |                |               
                |       39 Eri A |    5315-2290   |                |                |                |               
                |        alf Sex |    4903  750   |          49641 |         137366 |                |    04903-01750
                |       49 Ser B |     958  468-2 |                |                |                |               
                |         20 Hya |    5445  781   |          44961 |         136622 |                |               
                |          o Vir |     310  430   |          66200 |         120004 |                |    00310-01430
                |          9 Equ |     540-2121   |         105413 |         126719 |                |    00540-02121
                |         25 Her |      2587-70   |          80460 |          65290 |                |    02587-00070
                |         20 Aql |     5708-693   |          94385 |         143134 |                |    05708-00693
                |      mu.01 Lup |    8298-4182   |                |                |                |               
                |        tet Per |    3304-2737   |          12777 |          38288 |                |               
                |         30 Oph |    5072  228   |          83262 |         141483 |                |    05072-01228
                |        1 Cam B |    3732  027   |                |          24670 |                |               
                |      mu. Dra B |    3890  396   |                |                |                |               
                |         75 Cet |    4698  302   |          11791 |         129959 |                |    04698-01302
                |         20 Pup |    5996-2764   |          40259 |         153993 |                |    05996-02764
                |        iot Lep |    5338  445   |          24244 |         150223 |                |    05338-01445
                |          g Dra |    4193-2534   |          81660 |          17188 |                |    04193-02534
                |         40 Dra |    4578  434   |          88127 |           8994 |                |    04578-01434
                |      ome01 Cyg |    3581-2031   |         101138 |          49712 |                |    03581-02031
                |          5 Ser |     336  027   |          74975 |         120946 |                |               
                |        zet Scl |    6418  221   |            183 |                |                |    06418-01221
                |         17 Cam |    4085-2992   |          25769 |          13518 |                |    04085-02992
                |        psi Tau |    1826  575   |          19205 |          76461 |                |               
                |         85 Gem |    1371-2373   |          38722 |          79799 |                |    01371-02373
                |          U Cen |    8650  846   |          61286 |                |                |    08650-01846
                |         33 Com |     1449-262   |          62819 |         100311 |                |    01449-00262
                |        phi Boo |    3056  900   |          76534 |          45643 |                |    03056-01900
                |         84 Gem |     1375-558   |          38495 |          79768 |                |    01375-00558
                |        psi Aql |    1069-3885   |          97139 |         105199 |                |    01069-03885
                |         55 Per |    2380-2428   |          20579 |          57212 |                |    02380-02428
                |        129 Tau |    1299  090   |          27265 |          94848 |                |    01299-01090
                |        ups Car |                |          48002 |                |                |               
                |         22 Aur |    1859  289   |          25192 |          77139 |                |    01859-01289
                |        bet Cir |    8706  061   |          74824 |         242384 |                |    08706-01061
                |         30 Peg |     566  004   |         110298 |         127453 |                |    00566-01004
    Fomalhaut C |      alf PsA C |                |                |                |     329-202449 |    06964-01226
                |         66 Eri |    4758  506   |          23794 |         131777 |                |    04758-01506
                |        ome Ser |     356  276   |          77578 |         121215 |                |    00356-01276
                |          P Pup |    8134-3515   |          38164 |         219035 |                |    08134-03515
                |      bet Cep B |    4465-2644   |                |                |     803-032105 |    04465-02644
         SCHEAT |        bet Peg |    2243  831   |         113881 |          90981 |                |               
                |         56 Eri |    5321-2145   |          22024 |         131451 |                |    05321-02145
                |        ups Lup |    7839-2802   |          75439 |         206597 |                |    07839-02802
                |        tet CMa |    5388-2234   |          33160 |         152071 |                |    05388-02234
                |        bet Equ |     541  932   |         105570 |         126749 |                |    00541-01932
                |         12 Sco |                |          79399 |         184217 |                |    06805-01907
                |        kap Crt |    5512  093   |          55874 |         156685 |                |    05512-01093
                |         26 Sgr |    6858-2986   |          91689 |         187146 |                |    06858-02986
                |        gam Her |                |          80170 |         102107 |                |    01513-01261
                |          5 Cam |    3738  761   |          22854 |          24904 |                |    03738-01761
                |          4 UMi |    4561-2317   |          69112 |           7958 |                |    04561-02317
                |        2 CVn B |    3017-2102   |          59827 |                |     654-053813 |    03017-02102
                |         13 Lyn |    3774-2113   |          32489 |          25947 |                |    03774-02113
                |         33 Ari |    1776  396   |          12489 |          75510 |                |    01776-01396
                |      eta02 Pic |    8081  231   |          23649 |         217164 |                |    08081-01231
                |        163 Car |    8610-2639   |          48589 |         237480 |                |    08610-02639
                |         24 Cep |    4471  685   |         109400 |          10265 |                |    04471-01685
                |          f Vir |    4954  496   |          61558 |         138873 |                |               
                |        ome Eri |    4745  841   |          22701 |         131568 |                |               
                |         94 Psc |    1201  724   |           6732 |          92444 |                |    01201-01724
                |         16 Pup |    6004-3719   |          39906 |         153890 |                |    06004-03719
                |         50 Cnc |     813  445   |          43121 |          98117 |     511-046921 |    00813-01445
                |         17 Aqr |    5773  119   |         105574 |         145351 |                |    05773-01119
                |          4 Ser |     336  029   |          74689 |         120920 |                |    00336-01029
                |         32 Eri |                |          18255 |                |                |               
                |         17 Crt |                |          56280 |                |                |               
         Altarf |        bet Cnc |     794  622   |          40526 |         116569 |                |    00794-01622
                |         32 Com |     1449-991   |          62807 |         100309 |                |    01449-00991
                |      phi02 Cet |                |           3909 |         147470 |                |               
                |        iot Cap |    6360  220   |         105515 |         164346 |                |    06360-01220
