# Star common name translation file
#
# Proper name	    Bayer 	   TYCHO-2		Hipparcos	SAO		UCACT		GSC
#		  Designation
#========================================================================================================================
                |                |    TYC         |         HIP    |         SAO    |     UCACT      |       GSC
                |      iot Ori B |    4778  402   |                |                |                |               
                |      ome01 Tau |     1259-984   |          19388 |          93785 |                |    01259-00984
                |       11 LMi A |    2500  533   |                |                |                |               
                |        tet CrB |                |          76127 |          64769 |                |    02564-01629
                |      ups02 Cnc |    1941-2000   |          41940 |          80245 |                |    01941-02000
                |         33 Cap |    6372  276   |         105665 |         190295 |                |    06372-01276
                |        gam Ind |    8810  289   |         105841 |         247031 |                |    08810-01289
                |         21 Leo |     831  103   |          48298 |          98806 |                |    00831-01103
                |        alf Lac |    3628-3193   |         111169 |          34542 |                |    03628-03193
                |          A Cen |    8630-2190   |          56480 |         239189 |                |    08630-02190
                |         13 Tau |     1243-946   |          17309 |          93557 |                |    01243-00946
                |        tau CMa |    6541-4204   |          35415 |         173446 |                |    06541-04204
                |      del02 Vel |    8573-3571-2 |                |                |                |               
                |      ups01 Cnc |    1941-2827   |          41816 |          80229 |                |    01941-02827
                |      lam02 For |     7014-630   |          12186 |         193811 |                |               
                |         22 Lib |    6169  315   |          73953 |         159030 |                |    06169-01315
                |          I Pup |    8119-2547   |          34834 |         218537 |                |    08119-02547
                |          5 Tri |    2309  661   |          10220 |          55338 |                |    02309-01661
                |      nu.01 Dra |    3892  620   |          85819 |          30447 |                |    03892-01620
                |        rho Tau |     681  151   |          21273 |          94007 |     525-008714 |    00681-01151
                |          1 Lep |    6473  533   |          23474 |         170010 |                |    06473-01533
                |      pi.01 Peg |    2724-2355   |         109352 |          72064 |                |    02724-02355
                |          7 Aqr |    5774  594   |         103401 |         144968 |                |    05774-01594
                |        ome Lup |     7844  98   |          76552 |         226004 |                |    07844-00198
                |        tau Oph |                |          88404 |                |                |               
                |        rho Pav |    9100  263   |         101773 |         254835 |                |    09100-01263
                |         47 Cas |    4499-2252   |           9727 |           4562 |                |    04499-02252
                |        del Nor |    8310  489   |          78914 |         226500 |                |    08310-01489
                |      kap Tuc A |    9136  759-2 |                |         248346 |                |    09136-01760
                |         48 Tau |     1251  28   |          19877 |          93836 |     528-008281 |    01251-00128
                |        8 Lac B |    3205-2483   |         111544 |          72508 |                |    03205-02483
                |      omi Aql B |                |                |                |     503  22209 |               
                |         38 Lyn |                |          45688 |          61391 |                |               
                |         48 LMi |     1978-604   |          53355 |          81576 |                |    01978-00604
                |          Q Pup |    8138-3767   |          38089 |         219018 |                |    08138-03767
                |          3 Sge |    1604  456   |          95435 |         104804 |                |    01604-01456
                |        zet Cru |    8983-2258   |          60009 |         251841 |                |    08983-02258
          Merga |          h Boo |    3474  062   |          72487 |          45226 |                |    03474-01062
                |      ksi02 CMa |    6508-2872   |          31416 |         171982 |                |    06508-02872
                |         14 Sge |     1617-764   |          98754 |         105615 |                |    01617-00764
                |      tau06 Eri |    6448  370   |          17651 |         168827 |                |               
                |       52 Ari A |    1787  187   |                |                |     577-006835 |               
                |         18 Pup |    5438-2380   |          40035 |         153924 |                |               
                |        kap Phe |     7530-978   |           2072 |         215092 |                |               
                |         25 Sgr |    6858  512   |          91066 |         186995 |                |    06858-01512
                |          9 Her |     375  614   |          79488 |         121431 |                |    00375-01614
                |          V Eri |     5882-950   |          19004 |         149350 |                |    05882-00950
         ERAKIS |        mu. Cep |    3979  616   |         107259 |          33693 |                |    03979-01616
                |        phi Phe |    7546  195   |           8882 |         215697 |                |    07546-01195
          AGENA |        bet Cen |    9005-3919   |          68702 |         252582 |                |               
                |         53 Ari |     1228-703   |          14514 |          93284 |                |    01228-00703
                |         70 Her |    2078  803   |          84887 |          85021 |                |    02078-01803
                |        zet Tuc |    8843  706   |           1599 |         248163 |                |               
                |      phi04 Cet |     5272  52   |           4587 |         147546 |                |    05272-00152
                |         36 Peg |     1151-735   |         110986 |         127544 |                |    01151-00735
                |      tau Cyg C |                |                |                |     641  07841 |               
                |         37 Gem |    1898-2479   |          33277 |          78866 |                |    01898-02479
                |      gam01 Ari |    1209  833   |                |          92680 |     547-003513 |               
                |         64 Vir |      306-269   |          65241 |         119905 |                |    00306-00269
                |         38 Ori |     122-2409   |          26126 |         112904 |                |    00122-02409
                |          5 Cnc |     1376-394   |          39236 |          97485 |                |    01376-00394
                |        tet Men |    9388  630   |          33384 |         256355 |                |    09388-01630
                |        gam Crt |    6088-2155   |          55705 |         156661 |     362-059873 |               
                |       77 Psc B |      22  354   |           5144 |         109667 |                |    00022-01354
                |       26 Cet B |      19  459   |                |                |                |    00019-01459
                |          1 Cas |    3997-2306   |         114104 |          35147 |                |    03997-02306
                |         55 Cam |    4374-2926   |          40215 |          14456 |                |    04374-02926
                |          m Vir |    5546  582   |          66803 |         139490 |                |    05546-01582
                |         88 Tau |     673  488   |          21402 |          94026 |                |    00673-01488
          SAIPH |        kap Ori |     5351-760   |          27366 |         132542 |                |    05351-00760
                |        nu. Vir |      278-925   |          57380 |         119035 |                |    00278-00925
                |        nu. Tau |      79  585   |          18907 |         111579 |                |    00079-01585
                |         31 Com |    1995-2586   |          62763 |          82537 |                |    01995-02586
                |        pi. CrB |    2574  972   |          77048 |          64870 |                |    02574-01972
                |      kap Her A |    1508  273   |          79043 |         101951 |                |    01508-01273
        Porrima |        gam Vir |                |          61941 |                |                |    04949-01120
                |         58 Tau |    1264  010   |          20261 |          93876 |                |    01264-01010
                |         10 Vir |      280-445   |          59285 |         119245 |                |    00280-00445
                |        rho Cen |    8242-3478   |          59449 |         239737 |                |    08242-03478
                |         26 Cam |    3753  367   |          27249 |          25362 |                |    03753-01367
                |          7 Sex |     237  877   |          48414 |         117959 |                |               
                |      alf Her A |     990-2133   |                |         102680 |                |               
                |        iot Cnc |    1949-2011   |          43103 |          80416 |                |    01949-02011
                |          2 Com |                |          58858 |          82123 |                |               
                |        psi Cap |    6925  576   |         102485 |         189664 |                |    06925-01576
                |          f Psc |      23  341   |           6061 |         109793 |                |    00023-01341
           Wazn |        bet Col |    7069  482   |          27628 |         196240 |                |               
                |        ksi Her |    2102-2772   |          87933 |          85590 |                |    02102-02772
                |        tet Cet |    5274  984   |           6537 |         129274 |                |               
        Algorab |        del Crv |    6103-2395   |          60965 |         157323 |                |               
                |      gam02 Nor |    8320-2290   |          80000 |         243643 |                |    08320-02290
                |          o Per |    2363-2185   |          17313 |          56646 |                |    02363-02185
                |        kap Peg |    2193-2017   |         107354 |          89949 |                |    02193-02017
                |        iot TrA |    9045-2767   |          80645 |         253555 |                |    09045-02767
                |        131 Tau |     727  683   |          27316 |          94855 |                |    00727-01683
                |          f Leo |      1966-51   |          47701 |          61656 |                |    01966-00051
                |         12 CMa |    5961-3333   |          32504 |         172318 |                |               
                |          5 Lyn |    3777-2070   |          30679 |          25733 |                |    03777-02070
                |        ups Vir |    4976  278   |          70012 |         139866 |                |    04976-01278
       Rastaban |        bet Dra |    3521  800   |          85670 |          30429 |                |               
           CAPH |        bet Cas |                |            746 |          21133 |                |               
                |        mu. And |    2798  667   |           4436 |          54281 |                |    02798-01667
                |         14 Psc |     5251-961   |         116323 |         146780 |                |    05251-00961
                |         43 Cas |     4310-903   |           7965 |          11919 |                |    04310-00903
                |          b Vel |    8151-5000   |          42570 |         220265 |                |    08151-05000
       ALPHECCA |        alf CrB |    2029  690   |          76267 |          83893 |                |    02029-01690
        Alchiba |        alf Crv |     6672-995   |          59199 |         180505 |                |               
                |         18 Aql |    1044  453   |          93867 |         104488 |                |    01044-01453
                |        ksi Boo |                |          72659 |         101250 |                |               
                |         11 Boo |      2009-85   |          68478 |          83130 |                |    02009-00085
                |         11 CMi |      782-542   |          37921 |          97224 |                |    00782-00542
                |        zet Tel |    8367-2755   |          90568 |         229047 |                |               
                |      eps02 Ara |    8726-2209   |          83431 |         244388 |                |    08726-02209
                |         42 Her |    3502-2258   |          81497 |          46210 |                |    03502-02258
                |          6 UMi |     4413-768   |          72181 |           8081 |                |    04413-00768
                |        chi Cyg |    2673-4643   |          97629 |          68943 |                |    02673-04643
                |        eps PsA |    6966  509   |         111954 |         191318 |                |    06966-01509
                |        lam Aqr |    5813  406   |         112961 |         146362 |                |    05813-01406
                |         50 Sgr |    6309  875   |          95564 |         188121 |                |    06309-01875
                |        alf Men |     9176-987   |          29271 |         256274 |                |               
                |        eta Lib |    6186  662   |          77060 |         159466 |                |    06186-01662
                |         10 Aqr |    5200  719   |         103681 |         145021 |                |    05200-01719
                |         51 Cas |      4323-87   |           9802 |           4570 |                |    04323-00087
                |        tau Psc |    2278  260   |           5586 |          74546 |                |    02278-01260
                |        eta CMi |     177-2986   |          36265 |         115477 |                |    00177-02986
                |         36 Tau |    1814  647   |          19009 |          76425 |                |    01814-01647
                |          e Vel |     7670-866   |          42312 |         220204 |                |    07670-00866
                |         50 Ari |    1227  178   |          14021 |          93229 |                |    01227-01178
                |      kap02 Tau |    1277  627   |          20641 |          76602 |                |    01277-01627
                |          6 Cet |    5839  081   |            910 |         147133 |                |               
                |        eps Cyg |    2695-4139   |         102488 |          70474 |                |               
         Zaniah |        eta Vir |    4940  158   |          60129 |         138721 |                |    04940-01158
                |        ups Oph |    5626  388   |          80628 |         141187 |                |               
                |         21 Aqr |    5199  459   |         105767 |         145384 |                |    05199-01459
                |      phi02 Hya |     6062-660   |          51905 |         156093 |                |    06062-00660
                |      del Tuc A |    9120  918   |                |                |     126  85074 |               
                |         24 Per |    2334  041   |          13905 |          56052 |                |    02334-01041
                |        tau Leo |     267  193   |          55945 |         118875 |                |    00267-01193
                |         40 Cyg |    3152-2083   |         100907 |          70056 |                |    03152-02083
                |        eps Mic |     7476-923   |         105140 |         212874 |                |    07476-00923
                |        eps Men |     9389-829   |          36039 |         256415 |                |    09389-00829
                |         59 Ari |    1792  419   |          15514 |          75863 |                |    01792-01419
                |         19 Peg |     1135-877   |         108699 |         127239 |                |    01135-00877
                |        kap Hyi |      9150-88   |          11095 |         255880 |                |    09150-00088
                |      eta02 Dor |    8901  098   |          29353 |         249469 |                |    08901-01098
                |         37 Tau |    1262  645   |          19038 |          76430 |                |    01262-01645
                |         14 Lac |    3223-3619   |         112778 |          52412 |                |    03223-03619
                |         TW PsA |     7505  00   |         113283 |         214197 |                |               
         Tureis |        rho Pup |    6555-3245   |          39757 |         175217 |                |               
                |         28 UMa |                |          47911 |          14980 |                |    04139-00879
                |      mu.02 Gru |    7999  572   |         109973 |         231063 |                |    07999-01572
                |         15 CMa |    5958-3292   |          33092 |         172520 |                |    05958-03292
                |        omi Lup |    7832-2492   |          72683 |         225248 |                |    07832-02492
         ZAURAK |        gam Eri |    5311  285   |          18543 |         149283 |                |    05311-01285
          Phact |        alf Col |    7064  357   |          26634 |         196059 |                |               
                |         55 Ari |    1795  546   |          14677 |          75757 |                |    01795-01546
                |        eps Sge |    1602  782   |          96516 |         105061 |                |    01602-01782
                |       90 Leo A |    1438-2840   |                |                |     534-051686 |               
                |          c Vir |     285  247   |          60172 |         119341 |                |               
                |         13 Lyr |    3131-2155   |          92862 |          47919 |                |    03131-02155
                |      gam Cet A |      50  721   |                |                |                |               
       ARCTURUS |        alf Boo |    1472  436   |          69673 |         100944 |                |               
                |      iot Tri B |    2309  820   |                |                |     602-005830 |               
                |          9 Dra |     4169-515   |          63432 |          15960 |                |    04169-00515
                |        eta Ara |    8725-3067   |          82363 |         244168 |                |    08725-03067
                |        mu. Cyg |                |         107310 |                |     594  28381 |    03197-00616
                |         59 Ori |     117  338   |          28271 |         113315 |                |    00117-01338
                |      mu. Dra A |    3890  396-2 |                |                |                |               
  Pherkad Minor |         11 UMi |    4414-2315   |          74793 |           8207 |                |    04414-02315
                |        psi Boo |    2027  405   |          73745 |          83645 |                |    02027-01405
                |         13 Vir |    4940  159   |          60030 |         138710 |                |    04940-01159
                |         20 Com |    1447-2842   |          60957 |          82336 |                |    01447-02842
                |      iot Cas C |    4058  505   |                |                |                |               
                |         31 UMa |    3436  469   |          48682 |          27430 |                |    03436-01469
                |        alf Cir |    9015  445   |          71908 |         252853 |                |               
                |         32 And |    2801-2091   |           3231 |          54079 |                |               
                |          9 Lac |    3632-3260   |         111674 |          34628 |                |    03632-03260
     BETELGEUSE |        alf Ori |     129  873   |          27989 |         113271 |                |    00129-01873
                |         20 UMi |    4567  598   |          79420 |           8452 |                |    04567-01598
                |      del02 CMi |     182-2740   |          36723 |         115610 |                |    00182-02740
Gorgonea Secund |        pi. Per |    2850-2115   |          13879 |          56047 |                |    02850-02115
                |        zet Ara |    8730  439   |          83081 |         244315 |                |    08730-01439
                |         70 UMa |    3840  167   |          60212 |          28346 |                |    03840-01167
                |         37 Aqr |     5806-285   |         109460 |         164907 |                |    05806-00285
                |      nu.01 Sgr |     6860-863   |          92761 |         187426 |                |    06860-00863
                |        tet Pic |    8097  027   |          25303 |         233965 |                |               
                |         40 LMi |    1979-2709   |          52422 |          81485 |                |    01979-02709
                |          D Pup |    7633-2698   |          34339 |         218465 |     246-013199 |    07633-02698
                |         12 Tri |    1778  522   |          11486 |          75382 |                |    01778-01522
                |         31 Cap |     6351-438   |         105168 |         164289 |                |    06351-00438
                |         20 CVn |    3022-2306   |          64844 |          44549 |                |    03022-02306
                |         60 Peg |     2244-967   |         114526 |          91080 |                |               
                |         70 Cyg |    2716-2883   |         105942 |          71358 |                |    02716-02883
          NUNKI |        sig Sgr |    6868  829   |          92855 |         187448 |                |    06868-01829
                |        zet Cae |     7039-997   |          22280 |         195300 |                |    07039-00997
                |      zet02 Aqr |    5226  605   |                |         146108 |                |               
                |         78 Psc |    2282  412   |           5319 |          54445 |                |               
                |         38 Ari |      643-936   |          12832 |          93083 |                |    00643-00936
                |          g Cen |    7287  891   |          67457 |         204875 |                |    07287-01891
   Kaffaljidhma |        gam Cet |                |          12706 |         110707 |                |               
                |         59 Dra |    4583-2836   |          94083 |           9341 |                |    04583-02836
                |        chi Cen |    7807-2674   |          68862 |         224673 |                |    07807-02674
                |         28 Cet |    5273-2656   |           5164 |         147606 |                |    05273-02656
                |      sig02 Gru |    8000  536   |         111643 |         231217 |                |    08000-01536
                |         76 Peg |    1721  813   |         116972 |         108782 |                |    01721-01813
                |          7 LMi |    2497  011   |          46652 |          61529 |                |    02497-01011
                |      del Crv B |                |                |         157322 |     368-063200 |               
                |          F Hya |    4875  585   |          42835 |         136221 |                |    04875-01585
                |      alf Cen B |    9007-5848   |          71681 |                |                |               
                |         26 Hya |    5467  858   |          45751 |         155096 |                |    05467-01858
                |        tau For |    6453  223   |          17007 |         168701 |                |               
                |        ups Ori |    4778  407   |          25923 |         132222 |                |               
CCD J01361-2954 |        tau Scl |                |           7463 |         193201 |                |               
                |         41 UMa |    3826  020   |          52685 |          27760 |                |    03826-01020
                |         43 LMi |    1979-2291   |          52882 |          81533 |                |    01979-02291
                |          2 Boo |    1465  157   |          66763 |          82946 |                |    01465-01157
                |        phi Cap |    6359  519   |         104963 |         190173 |                |    06359-01519
                |         10 Her |    2042  068   |          79349 |          84240 |                |    02042-01068
                |        286 Ret |    8869-2459   |          19917 |         248977 |                |    08869-02459
                |         26 Sex |     4905-762   |          51117 |         137565 |                |    04905-00762
                |         47 Cam |    3793  996   |          35735 |          26298 |                |               
                |         25 Vul |    2159-2070   |         100435 |          88580 |                |    02159-02070
                |       57 UMa A |    3013-2482   |                |                |     647-048863 |               
                |         39 Eri |                |          19777 |         149478 |                |    05315-02290
                |      iot01 Nor |    8718-2860   |          78662 |         243279 |                |    08718-02860
                |        zet Dor |    8514-2291   |          23693 |         233822 |                |    08514-02291
                |          6 PsA |     7482-979   |         106340 |         213078 |                |    07482-00979
                |         17 Lyr |    2644-2411   |          93917 |          67835 |                |    02644-02411
                |        iot Gru |    8448  362   |         114421 |         231468 |                |    08448-01362
          Mizar |        zet UMa |                |          65378 |                |                |               
                |         38 Cas |    4301  247   |           7078 |           4422 |                |    04301-01247
         Altais |        del Dra |    4444-2239   |          94376 |          18222 |                |    04444-02239
                |        iot Crt |    5516  578   |          56802 |         156802 |                |    05516-01578
                |          8 Her |     1508-937   |          79102 |         101962 |                |    01508-00937
                |        del Mic |     7471-848   |         104148 |         212709 |                |    07471-00848
                |         54 Aqr |    5807  695   |         110786 |         165079 |                |    05807-01695
                |         58 And |    2829-2251   |           9977 |          55289 |                |    02829-02251
                |         20 Sex |    4910  020   |          50100 |         137424 |                |    04910-01020
                |        nu. Gru |     7997-828   |         110936 |         213850 |                |    07997-00828
                |          e Lup |    7834-3136   |          74449 |         225539 |                |    07834-03136
                |         15 LMi |    3433  531   |          48113 |          43046 |                |               
                |      nu.01 Col |     6497-768   |          26412 |         170601 |                |    06497-00768
                |          d Cyg |    3935-2415   |          97635 |          32042 |                |    03935-02415
                |         67 Aqr |    5240  569   |         112179 |         146273 |                |    05240-01569
                |         57 Cnc |    2485-2096   |          43721 |          61125 |                |    02485-02096
                |        119 Tau |     1301-707   |          25945 |          94628 |                |    01301-00707
        Grumium |        ksi Dra |    3910  710   |          87585 |          30631 |                |    03910-01710
                |      pi.01 UMa |    4133  971   |          42438 |          14609 |                |    04133-01971
                |        zet Pic |    8093  067   |          24829 |         233926 |                |               
     MENKALINAN |        bet Aur |    2924-2742   |          28360 |          40750 |                |    02924-02742
                |         97 Aqr |    6396  219   |         115404 |         165658 |                |               
                |         19 Aur |    2398  609   |          24879 |          57906 |                |    02398-01609
                |         57 Ori |    1320  695   |          27965 |          94986 |                |    01320-01695
                |      alf Com B |    1454  134-2 |                |                |                |               
                |      ksi01 Cen |    8254-2207   |          63724 |         223870 |                |    08254-02207
                |       52 Her B |    3500-2419-2 |                |                |                |               
                |      nu.02 Sgr |     6860-304   |          92845 |         187445 |                |    06860-00304
                |      phi02 Ori |     701-2047   |          26366 |         112958 |                |    00701-02047
                |         49 Aur |    1888  793   |          31434 |          78524 |                |    01888-01793
                |        zet And |    1739-2317   |           3693 |          74267 |                |    01739-02317
                |       19 Lyn B |     3785-913   |          35783 |          26311 |                |    03785-00913
                |         17 Aur |    2398  311   |          24740 |          57858 |                |    02398-01311
                |         32 Vul |    2179-2495   |         103200 |          89272 |                |    02179-02495
      POLARIS B |      alf UMi B |                |                |            305 |                |               
                |          2 Aur |    2399  843   |          22678 |          57475 |                |    02399-01843
                |         16 Lac |    3223-3620   |         113281 |          52512 |                |    03223-03620
                |        gam Lep |    5930-2197   |          27072 |         170759 |                |               
                |        ome For |                |          11918 |         167882 |                |    06436-02246
                |         48 Leo |     259  552   |          51775 |         118376 |                |    00259-01552
                |          R Her |     1507-250   |                |         101927 |                |               
                |        kap Vir |    5558  738   |          69427 |         158427 |                |    05558-01738
                |         41 Sex |    5499  597   |          52980 |         137823 |                |    05499-01597
                |        bet Cam |    4079-2478   |          23522 |          13351 |                |    04079-02478
                |        eps Pyx |     7152-953   |          45001 |         200047 |                |    07152-00953
                |        eps Hyi |    9144  686   |          12394 |         248621 |                |    09144-01686
                |         19 Cyg |    3137-3764   |          97630 |          68947 |                |    03137-03764
                |         39 Psc |     1179-669   |           1427 |          91825 |                |               
                |         12 Lep |    5929  596   |          26865 |         170715 |                |               
                |          D Cen |                |          59654 |         223297 |                |               
                |         60 Aqr |     5233-277   |         111394 |         146160 |                |    05233-00277
        TAYGETA |          q Tau |    1803  585   |          17531 |          76140 |                |    01803-01585
                |         33 Gem |    1331  127   |          32753 |          96161 |                |               
                |        eps Sct |    5692-2504   |          91845 |         142546 |                |    05692-02504
    Miaplacidus |        bet Car |    9200-2603   |          45238 |         250495 |                |               
                |        omi Hya |    7224  785   |          56922 |         202695 |                |    07224-01785
                |         51 Tau |    1276  622   |          20087 |          76541 |                |    01276-01622
                |      pi.02 Ori |     683  217   |          22509 |         112124 |                |    00683-01217
                |        alf Ind |    8411  822   |         101772 |         230300 |                |    08411-01822
       ASTEROPE |         21 Tau |    1803  584   |          17579 |          76159 |                |    01803-01584
                |         12 Per |    2849-2054   |          12623 |          55793 |                |    02849-02054
                |          5 Ori |      89-2557   |          22730 |         112179 |                |    00089-02557
                |          f Pup |                |          37096 |         198195 |                |    07113-03280
                |          4 Equ |     538-2797   |         104101 |         126535 |                |    00538-02797
                |        eps CMi |     764-2771   |          36041 |         115425 |                |    00764-02771
                |         72 Leo |    1981-2471   |          54951 |          81736 |                |    01981-02471
                |         32 Cas |    4038  990   |           5589 |          11617 |                |    04038-01990
                |         37 Vir |     294  033   |          62757 |         119633 |                |    00294-01033
                |        mu. Her |    2085-3062   |          86974 |          85397 |                |    02085-03062
         Yildun |        del UMi |    4655  053   |          85822 |           2937 |                |    04655-01053
           Naos |        zet Pup |    7663-4093   |          39429 |         198752 |                |    07663-04093
                |         39 Gem |    1899  584   |          33595 |          78929 |                |    01899-01584
                |       66 Cet B |    4690  111   |          10303 |         129751 |                |               
       Adhafera |        zet Leo |    1969  261   |          50335 |          81265 |                |    01969-01261
                |        rho Vir |     878  102   |          61960 |         100211 |                |    00878-01102
      Aspidiske |        iot Car |    8595-3312   |          45556 |         236808 |                |    08595-03312
                |      psi01 Aqr |    5821  480   |         114855 |         146598 |                |               
                |        mu. For |    7007-2243   |          10320 |         193573 |                |    07007-02243
                |         13 Cet |    4675  216-3 |           2762 |         128839 |                |               
                |         63 Oph |     6845-692   |          87706 |         185928 |                |    06845-00692
                |         35 Dra |    4573  916   |          87234 |           8939 |                |               
                |      ksi01 Cap |    5748-2160   |          99529 |         163328 |                |               
                |        mu. Scl |    7515  148   |         116820 |         214701 |                |    07515-01148
                |        iot Ind |    8420  431   |         102950 |         246762 |                |    08420-01431
          Segin |        eps Cas |    4036-2834   |           8886 |          12031 |                |    04036-02834
                |         37 Aql |    5727-2383   |          96327 |         162792 |                |    05727-02383
                |          5 Eri |    4700  399   |          13951 |         130228 |                |               
                |          k Psc |     1743-857   |           4366 |          74373 |                |    01743-00857
                |          2 And |                |         113788 |          52623 |                |    03224-03432
                |         56 Aql |    5725-2836   |          97928 |         143894 |                |    05725-02836
                |      phi02 Lup |    7325  692   |          75304 |         206580 |                |    07325-01692
                |          c Lup |    8681-3328   |          73095 |         242120 |                |    08681-03328
                |        ups Pav |    9112  600   |         102157 |         254854 |                |    09112-01600
                |    iot02 For B |                |                |                |     300-002651 |               
                |         37 Cet |    5273-2653   |           5799 |         129193 |                |               
                |      gam02 Oct |     9489  06   |         118114 |         258996 |                |    09489-00106
                |         14 Hya |    4868  768   |          43305 |         136308 |                |               
                |         85 Aqr |     5820-461   |         114054 |         146505 |                |    05820-00461
                |        chi Leo |     268  067   |          54182 |         118648 |                |               
                |         13 Tri |    1778  523   |          11548 |          75391 |                |    01778-01523
          Anser |        alf Vul |    2129-2772   |          95771 |          87261 |                |    02129-02772
                |      pi.02 Hyi |     9144  66   |          10513 |         248521 |                |    09144-00166
       CASTOR C |      alf Gem C |    2453  918   |                |          60199 |     610-041023 |               
                |          8 PsA |    6943  015   |         106654 |         190478 |                |    06943-01015
                |         43 Leo |      252-334   |          50851 |         118269 |                |    00252-00334
       Veritate |         14 And |     3231-323   |         116076 |          73311 |                |               
                |      tau02 Hyi |     9356-316   |           8366 |         258280 |                |    09356-00316
                |         68 Dra |    4236-2502   |          99500 |          18751 |                |    04236-02502
                |         58 Oph |    6260-2072   |          86736 |         185660 |                |    06260-02072
                |  C 03922-00054 |      3922-54   |                |                |                |    03922-00054
                |      tau09 Eri |    6455  268   |          18673 |         169017 |                |    06455-01268
           Kraz |        bet Crv |    6683  116   |          61359 |         180915 |                |               
                |         16 Mon |     747-2462   |          32463 |         114388 |                |    00747-02462
                |      nu. Sco A |    6209  537   |                |                |                |               
                |      ome02 Tau |    1272  126   |          19990 |          76532 |                |    01272-01126
                |         83 Peg |     1728-723   |         117735 |          91552 |                |    01728-00723
    Dabih Minor |      bet02 Cap |    5753-2282   |         100325 |         163471 |                |               
         Maasym |        lam Her |    2079-2057   |          85693 |          85163 |                |    02079-02057
                |        mu. Nor |    7866-3007   |          81122 |         226900 |                |    07866-03007
         Jabbah |        nu. Sco |                |          79374 |         159764 |                |    06209-01537
                |      ksi Cep B |    4271-2619   |                |          19826 |                |               
                |          2 Lyn |    3776-2465   |          30060 |          25665 |                |    03776-02465
     RASALGETHI |        alf Her |                |          84345 |                |                |               
                |         62 Psc |      17  413   |           3760 |         109470 |                |    00017-01413
                |        rho Ser |    1502  782   |          77661 |          84037 |                |    01502-01782
                |        iot Tuc |    8842  781   |           5268 |         248324 |                |    08842-01781
                |         60 Cyg |   3588  2112   |         103732 |          50359 |                |    03588  2112
                |          A Hya |    2992  686   |          47053 |          42931 |                |    02992-01686
                |         45 Leo |      838-273   |          51213 |          99136 |                |    00838-00273
                |      gam01 For |     6437-318   |          13197 |         168081 |                |    06437-00318
                |         23 Vul |    2163  794   |          99874 |          88428 |                |    02163-01794
                |          b Boo |    2027  406   |          74087 |          83682 |                |    02027-01406
        Muphrid |        eta Boo |    1470  157   |          67927 |         100766 |                |               
                |        gam Cas |                |           4427 |          11482 |                |               
                |         20 Boo |    1469  455   |          70027 |         100980 |                |    01469-01455
                |        tau Lib |    6789  800   |          76600 |         183649 |                |    06789-01800
                |    tet02 Ori B |     4774-934   |                |         132322 |                |    04774-00934
                |         56 Leo |      261-384   |          53449 |         118576 |                |    00261-00384
                |      tau06 Ser |    1495  993   |          76810 |         101678 |                |    01495-01993
          MERAK |        bet UMa |    3827  079   |          53910 |          27876 |                |    03827-01079
                |      eps Boo B |    2019  250   |                |                |                |               
          HAMAL |        alf Ari |    1758-2416   |           9884 |          75151 |                |    01758-02416
                |          8 Aql |     5118-458   |          92524 |         142706 |                |    05118-00458
                |          8 Cyg |    2663  148   |          96052 |          68447 |                |               
                |         56 Per |                |          20591 |          57216 |                |    02380-02429
                |         12 Sgr |     6843-378   |          89276 |         186478 |                |    06843-00378
          Zibal |        zet Eri |    5295  259   |          15197 |         130387 |                |    05295-01259
                |          R Tau |      673-735   |                |          93949 |                |    00673-00735
                |        eps Cet |    5288  093   |          12390 |         148528 |                |               
                |         26 Lyn |    3410-2933   |          38639 |          42058 |                |    03410-02933
                |          l Ori |     735-3442   |          29850 |         113675 |                |    00735-03442
        Sheliak |        bet Lyr |    2642-2929   |          92420 |          67451 |                |    02642-02929
                |        nu. Cas |    3274-2090   |           3801 |          21729 |                |    03274-02090
